OTU	Domain	Phylum	Class	Order	Family	Genus	Species
Otu03721	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	unclassified
Otu03722	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	unclassified
Otu03723	Bacteria	Tenericutes	Mollicutes	RF39	unclassified	unclassified	unclassified
Otu03724	Bacteria	Tenericutes	Mollicutes	RF39	unclassified	unclassified	unclassified
Otu03725	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	unclassified
Otu03726	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	unclassified
Otu03727	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	unclassified
Otu03728	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	obeum
Otu03729	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	unclassified
Otu03730	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
Otu03731	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium	unclassified
Otu03732	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	unclassified
Otu03733	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	unclassified
Otu03734	Bacteria	Bacteroidetes	unclassified	unclassified	unclassified	unclassified	unclassified
Otu03735	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified
Otu03736	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified
Otu03737	Bacteria	Tenericutes	Mollicutes	RF39	unclassified	unclassified	unclassified
Otu03738	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified
Otu03739	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	unclassified	unclassified
Otu03740	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	unclassified	unclassified
Otu03741	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter	unclassified
Otu03742	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	unclassified
Otu03743	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
Otu03744	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified
Otu03745	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified
Otu03746	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium	clostridioforme
Otu03747	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified
Otu03748	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	ovatus
